字段,学科（英文）,学科（中文）,所属学科
math.SP,Spectral Theory,光谱理论,数学
math.ST,Statistics Theory,统计学理论,数学
math-ph,Mathematical Physics,数学物理,数学
nlin.AO,Adaptation and Self-Organizing Systems,适应与自组织系统,物理
nlin.CD,Chaotic Dynamics,混沌动力学,物理
nlin.CG,Cellular Automata and Lattice Gases,元胞自动机与格子气体,物理
nlin.PS,Pattern Formation and Solitons,模式形成与孤子,物理
nlin.SI,Exactly Solvable and Integrable Systems,严格可解可积系统,物理
nucl-ex,Nuclear Experiment,核试验,物理
nucl-th,Nuclear Theory,核理论,物理
physics.acc-ph,Accelerator Physics,加速器物理学,物理
physics.ao-ph,Atmospheric and Oceanic Physics,大气和海洋物理学,物理
physics.app-ph,Applied Physics,应用物理学,物理
physics.atm-clus,Atomic and Molecular Clusters,原子和分子团簇,物理
physics.atom-ph,Atomic Physics,原子物理学,物理
physics.bio-ph,Biological Physics,生物物理学,物理
physics.chem-ph,Chemical Physics,化学物理,物理
physics.class-ph,Classical Physics,经典物理学,物理
physics.comp-ph,Computational Physics,计算物理学,AI
physics.data-an,"Data Analysis, Statistics and Probability",数据分析、统计和概率,物理
physics.ed-ph,Physics Education,物理教育,物理
physics.flu-dyn,Fluid Dynamics,流体动力学,物理
physics.gen-ph,General Physics,普通物理,物理
physics.geo-ph,Geophysics,地球物理学,物理
physics.hist-ph,History and Philosophy of Physics,物理学的历史与哲学,物理
physics.ins-det,Instrumentation and Detectors,仪器和探测器,物理
physics.med-ph,Medical Physics,医学物理学,物理
physics.optics,Optics,光学,物理
physics.plasm-ph,Plasma Physics,等离子体物理,物理
physics.pop-ph,Popular Physics,大众物理,物理
physics.soc-ph,Physics and Society,物理学与社会,物理
physics.space-ph,Space Physics,空间物理学,物理
q-bio.BM,Biomolecules,生物分子,物理
q-bio.CB,Cell Behavior,细胞行为,物理
q-bio.GN,Genomics,基因组学,物理
q-bio.MN,Molecular Networks,分子网络,物理
q-bio.NC,Neurons and Cognition,神经元与认知,AI
q-bio.OT,Other Quantitative Biology,其他定量生物学,生物
q-bio.PE,Populations and Evolution,种群与进化,生物
q-bio.QM,Quantitative Methods,定量方法,生物
q-bio.SC,Subcellular Processes,亚细胞突起,生物
q-bio.TO,Tissues and Organs,组织和器官,生物
q-fin.CP,Computational Finance,金融工程,经济
q-fin.EC,Economics,经济学,经济
q-fin.GN,General Finance,财务概述,经济
q-fin.MF,Mathematical Finance,数学金融,经济
q-fin.PM,Portfolio Management,投资组合管理,经济
q-fin.PR,Pricing of Securities,证券定价,经济
q-fin.RM,Risk Management,风险管理,经济
q-fin.ST,Statistical Finance,金融统计,经济
q-fin.TR,Trading and Market Microstructure,交易与市场微观结构,经济
quant-ph,Quantum Physics,量子物理学,物理
stat.AP,Applications,应用,应用
stat.CO,Computation,计算,AI
stat.ME,Methodology,方法论,方法论
stat.ML,Machine Learning,机器学习,AI
stat.OT,Other Statistics,其他统计学,AI
stat.TH,Statistics Theory,统计学理论,AI
